idinsert,folio,int,entidad,desc_ent,munici,desc_mun,locali,desc_loc,maq,completa,sexo,edad,meses,intsel,intsel2,eti001,eti002,eti003,eti101,eti102,eti102a_v1,eti102b_v1,eti102c_v1,eti102d_v1,eti102e_v1,eti102a_v2,eti102b_v2,eti102c_v2,eti102d_v2,eti102e_v2,eti102_1,eti103,eti104a,eti104b,eti104c,eti104d,eti1041a,eti1041b,eti1041c,eti1041d,eti1041e,eti1041f,eti1041g,eti1041esp,eti1042a,eti1042b,eti1042c,eti1042d,eti1042e,eti1042f,eti1042g,eti1042esp,eti105a,eti105b,eti105c,eti105d,eti105e,eti105f,eti105g,eti105h,eti105i,eti105j,eti105k,eti105l,eti105m,eti105n,eti105o,eti105p,eti105q,eti106a,eti106b,eti106c,eti106d,eti106e,eti107,eti108a,eti108b,eti108c,eti108d,eti108e,eti108f,eti108g,eti108esp,eti108h,eti109a,eti109b,eti109c,eti109d,eti109e,eti109f,eti109g,eti109esp,eti109h,eti110a,eti110b,eti110c,eti110d,eti110e,eti110f,eti110g,eti110esp,eti110h,eti111a,eti111b,eti111c,eti111d,TIEMPO_GEN,origen,c1,est_var,region_h,code_upm,rural,ponde_f,version,p6_figura1,p6_figura2,p6_ninguno,p6_NoSabeNoResp,p6_leen,edad1
1077671,14039000107170080051,7,14,JALISCO,039,GUADALAJARA,0001,GUADALAJARA,MC047,1,1,70,4,1,10,8,8,1,1,1,,,,,,0,1,0,0,0,3,2,2,3,1,3,,,,,,,,,1,2,1,1,1,2,2,,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,4,3,5,4,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,1,5,3,3,2016/10/04,0,1,223,2,2o80,2,48269.30814672738,2,0,1,0,0,1,5
1077833,14039000111850200091,1,14,JALISCO,039,GUADALAJARA,0001,GUADALAJARA,MC047,1,1,48,0,1,10,8,8,1,1,1,,,,,,1,0,0,0,0,1,4,3,5,3,3,,,,,,,,,1,2,1,2,1,2,2,,3,1,2,3,5,2,5,2,5,2,1,5,5,5,3,2,1,3,3,4,4,4,5,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,2,5,4,4,2016/10/04,0,1,223,2,2o78,2,3251.7026479874935,2,1,0,0,0,1,3
398371,14039000116640090201,1,14,JALISCO,039,GUADALAJARA,0001,GUADALAJARA,MC045,1,2,63,9,1,,8,8,1,1,1,,,,,,0,1,0,0,0,3,1,1,4,3,3,,,,,,,,,1,2,1,1,1,1,2,,2,2,1,1,5,1,1,1,5,5,1,5,5,1,1,1,1,3,3,4,3,4,2,,,1,1,,,,,,,,1,1,,,,,,,,1,1,,,,,,2,4,5,5,2016/10/04,0,1,223,2,2o77,2,7877.582834630602,2,0,1,0,0,1,5
1077807,14039000146010090151,5,14,JALISCO,039,GUADALAJARA,0001,GUADALAJARA,MC047,1,2,37,11,1,12,8,8,1,1,1,,,,,,0,1,0,0,0,3,4,4,3,3,3,,,,,,,,,1,2,1,2,1,2,2,,2,5,5,5,5,1,5,4,5,5,1,5,5,5,3,2,5,4,4,2,4,3,5,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,4,4,4,4,2016/10/04,0,1,222,2,2o60,2,21040.103296175428,2,0,1,0,0,1,2
1077117,14039000146690170011,1,14,JALISCO,039,GUADALAJARA,0001,GUADALAJARA,MC043,1,2,59,8,1,10,8,8,1,1,1,,,,,,1,1,0,0,0,1,2,2,2,2,3,,,,,,,,,1,2,2,1,1,1,2,,2,1,1,1,1,1,1,1,4,5,1,5,5,5,1,1,1,1,1,1,1,1,5,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,1,1,1,1,2016/10/04,0,1,223,2,2o79,2,5730.945035893366,2,1,1,0,0,2,4
1090104,14039000146690250121,2,14,JALISCO,039,GUADALAJARA,0001,GUADALAJARA,MC045,1,2,61,11,1,10,8,8,1,1,1,,,,,,1,1,0,0,0,1,5,5,5,5,5,,,,,,,,,1,1,2,2,1,1,2,,2,2,3,3,5,5,5,2,5,5,2,5,5,5,2,1,2,5,5,1,5,2,6,1,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,1,5,3,2,2016/10/04,0,1,223,2,2o79,2,24819.731884771267,2,1,1,0,0,2,5
1077624,14067000121160120041,1,14,JALISCO,067,PUERTO VALLARTA,0001,PUERTO VALLARTA,MC047,1,1,32,2,1,,8,8,1,1,1,,,,,,0,0,1,0,0,2,3,4,4,1,4,,,,,,,,,1,2,1,2,2,2,2,,3,4,4,4,4,2,2,4,4,2,1,2,4,4,4,2,4,4,4,3,4,4,4,1,,1,1,1,,,,,,,1,,1,,,,,1,,1,1,1,,,,,1,5,4,1,2016/10/04,0,1,222,2,2o61,2,27158.295422758707,2,0,0,0,0,1,2
1007206,14098000115380170431,1,14,JALISCO,098,TLAQUEPAQUE,0001,TLAQUEPAQUE,MC129,1,2,23,0,1,10,8,8,1,1,1,,,,,,0,1,0,0,0,1,5,5,5,5,3,,,,,,,,,1,1,2,1,2,2,2,,2,1,1,5,5,2,1,2,2,2,1,1,1,1,1,1,1,2,5,4,5,1,1,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,1,5,5,5,5,2016/10/04,0,1,222,2,2o58,2,38851.20855210974,2,0,1,0,0,1,1
1007247,14098000119700090161,1,14,JALISCO,098,TLAQUEPAQUE,0001,TLAQUEPAQUE,MC129,1,2,24,10,1,,8,8,1,1,1,,,,,,0,1,0,0,0,3,3,3,3,1,3,,,,,,,,,2,2,2,2,2,2,2,,3,3,1,1,1,1,1,5,1,1,1,1,5,5,5,1,1,3,1,1,1,3,1,1,1,1,1,1,,,,,1,1,1,1,1,,,,,,,,1,1,,,,,1,5,4,1,2016/10/04,0,1,222,2,2o56,2,19209.35272625022,2,0,1,0,0,1,1
1087566,14098000119700140131,2,14,JALISCO,098,TLAQUEPAQUE,0001,TLAQUEPAQUE,MC075,1,2,24,4,1,,8,8,1,1,1,,,,,,1,1,0,0,0,2,2,3,2,3,3,,,,,,,,,1,2,1,1,1,1,2,,3,1,3,1,3,3,3,2,3,1,3,3,1,1,3,2,1,3,3,1,3,4,5,1,,,,,,,,,1,,,1,,,,,,1,,,1,,,,,,3,5,5,5,2016/10/04,0,1,222,2,2o56,2,21623.593270070065,2,1,1,0,0,2,1
