folio,int,idinsert,entidad,munici,locali,sexo,edad,intsel,intsel2,completa,cam00,cam01,cam02,cam03,cam04a,cam04b,cam04c,cam04d,cam04e,cam04f,cam04esp,cam04g,cam05a,cam05b,cam05c,cam05d,cam05e,cam05f,cam05g,cam05esp,cam05h,cam05i,cam06,cam07,cam08,cam09,cam10,cam11,cam12,cam13,TIEMPO_GEN,region_h,code_upm,est_var,ponde_f,h218a,h218b,gp_edad,CHECATE,MIDETE,MUEVETE,Area
010010001262A0080311,2,1064548,01,001,0001,2,28,1,12,1,4,1,2,1,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,,0,0,1,1,1,1,1,3,3,2,2016/10/04,2,2o50,222,15626.273215891482,4,3,1,0,0,1,1
010010001262A0080371,1,1064536,01,001,0001,1,25,1,,1,4,1,2,2,,,,,,,,,1,1,0,0,0,0,0,,0,0,2,1,3,1,3,2,3,2,2016/10/04,2,2o50,222,11546.611473590008,10,3,1,0,0,1,1
010010001262A0080441,1,1064535,01,001,0001,2,76,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,1,1,3,3,3,3,2016/10/04,2,2o50,222,5829.435595171016,2,1,3,1,0,1,1
010010001262A0130041,1,1064534,01,001,0001,2,52,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,4,1,3,2,3,2,2016/10/04,2,2o50,222,3667.297027206714,2,2,2,1,0,1,1
010010001262A0130151,2,1064529,01,001,0001,2,28,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,5,5,1,3,2,3,2,2016/10/04,2,2o50,222,10816.922197140164,3,3,1,0,1,1,1
010010001262A0130201,1,1064545,01,001,0001,1,56,1,10,1,4,1,2,2,,,,,,,,,0,1,0,0,0,0,0,,0,0,2,3,1,1,3,3,3,2,2016/10/04,2,2o50,222,6144.723046638892,3,3,2,1,0,1,1
010010001262A0130261,4,1064517,01,001,0001,2,29,1,10,1,4,1,2,2,,,,,,,,,1,1,0,0,0,0,0,,0,0,2,5,5,1,3,2,3,2,2016/10/04,2,2o50,222,27042.305492850413,7,3,1,0,1,1,1
010010001262A0130311,1,1064533,01,001,0001,2,68,1,13,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,2,1,3,2,3,3,2016/10/04,2,2o50,222,4035.290463376616,2,6,3,1,0,1,1
010010001262A0170051,1,1063921,01,001,0001,2,64,1,,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,3,1,1,2016/10/04,2,2o50,222,3308.6893411754268,2,3,3,0,0,0,1
010010001262A0170081,1,1063908,01,001,0001,1,56,1,10,1,4,2,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,2,3,1,2016/10/04,2,2o50,222,11087.719101048482,2,6,2,1,0,0,1
