idinsert,folio,integrante,entidad,munici,locali,maq,sexo,edad,meses,intsel,intsel2,perc101,perc102,perc103,perc104,perc104aj,perc105aj,perc105,perc106,perc107,perc108,perc109,perc110,perc110aj,perc111,perc111aj,perc112,perc113,perc114,perc115,perc116,perc117,perc118,perc119,perc120,perc121,perc122,perc123,perc124,perc125,perc126,perc127,perc128,perc129,perc130,perc131,perc132,perc133,perc134,perc135,perc136,perc137,perc138,perc139,perc140,perc141,perc142,perc143,perc144,perc145,perc146,perc147,perc148,perc149,perc150,perc151,perc152,perc153,perc154,perc155,perc156,perc157,perc158,perc159,perc160,perc161,perc162,perc163,perc164,tiempo_gen,est_var,region_h,code_upm,rural,c1,ponde_f,etapa_af,etapa_fv
1064534,010010001262A0130041,1,01,001,0001,MC033,2,52,0,1,,2,2,1,,2,2,,2,2,1,,2,2,1,1,2,1,1,2,4,2,2,1,2,2,1,2,2,1,1,2,1,1,2,3,2,2,3,1,4,2,3,2,1,1,1,1,1,2,3,3,3,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2016/10/25,222,2,2o50,2,1,3405.994936237605,2,3
1064529,010010001262A0130151,2,01,001,0001,MC033,2,28,5,1,,2,2,1,,2,2,,2,2,1,,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,3,2,3,3,2,2,2,4,3,2,2,2,2,1,1,2,3,3,2,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2016/10/25,222,2,2o50,2,1,10397.35201986429,2,3
1064545,010010001262A0130201,1,01,001,0001,MC033,1,56,2,1,10,2,1,,2,2,2,2,1,1,1,,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,3,1,3,3,3,4,2,4,1,1,1,1,1,1,1,3,4,3,2,2,1,1,1,2,1,1,1,1,2,1,1,2,1,2,2016/10/25,222,2,2o50,2,1,5390.411844320142,3,3
1064517,010010001262A0130261,4,01,001,0001,MC033,2,29,2,1,10,2,1,,1,1,1,1,1,2,1,,2,2,2,2,2,2,3,2,2,1,2,1,1,1,2,1,1,2,1,1,2,2,1,4,2,2,3,3,2,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2016/10/25,222,2,2o50,2,1,25993.380049660722,5,3
1063908,010010001262A0170081,1,01,001,0001,MC031,1,56,8,1,10,1,2,1,,2,2,,1,2,1,,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,4,2,3,3,3,2,3,3,3,2,1,1,1,1,1,2,4,2,3,2,3,2,2,2,1,1,1,2,1,1,1,1,2,1,2016/10/25,222,2,2o50,2,1,9726.617768636232,2,3
1063900,010010001262A0170131,2,01,001,0001,MC031,2,28,1,1,12,2,2,2,,2,2,,1,2,1,,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,3,1,3,3,3,4,1,3,4,1,1,1,1,1,1,4,,2,3,2,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2016/10/25,222,2,2o50,2,1,9380.643986390322,1,5
1063903,010010001262A0170161,1,01,001,0001,MC031,2,48,0,1,,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,1,1,2,2,1,2,3,3,88,2,3,2,1,1,1,1,1,1,88,88,2,2,2,3,2,1,1,1,1,1,2,2,2,2,1,1,1,2016/10/25,222,2,2o50,2,1,3072.9387497173734,5,5
1063889,010010001262A0170191,1,01,001,0001,MC031,1,49,7,1,,1,1,,1,1,1,1,1,88,1,,2,2,2,2,1,3,3,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,1,4,2,2,3,2,2,2,2,2,2,2,1,1,2,2,1,4,3,2,2,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2016/10/25,222,2,2o50,2,1,9726.617768636232,5,3
1063896,010010001262A0220121,3,01,001,0001,MC031,2,24,4,1,13,1,1,,1,1,1,1,1,1,1,,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,3,3,2,4,3,4,2,1,1,1,1,1,1,2,3,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2016/10/25,222,2,2o50,2,1,22173.320022025277,5,3
1065250,010010001262A0280211,1,01,001,0001,MC035,1,39,2,1,12,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,3,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,3,1,3,3,1,3,2,3,3,1,1,1,1,1,1,2,4,3,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2016/10/25,222,2,2o50,2,1,17503.704362304277,5,5
