folio,entidad,desc_ent,munici,desc_mun,locali,desc_loc,sa101,sa102,sa103,sa104,sa105,sa106,sa107,sa108,sa108a,sa109,sa110,sa111,sa112,sa113,sa114,sa115,code_upm,est_var,region_h,ponde_f,sum_total,niv_seg,area
010010001262A0130041,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,1,0,0,1,1,0,0,,,,,,,,2o50,222,2,3724.037669345803,4,2,1
010010001262A0130151,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2o50,222,2,3724.037669345803,3,1,1
010010001262A0130201,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,1,0,0,0,0,0,,,,,,,,2o50,222,2,3724.037669345803,1,1,1
010010001262A0130261,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o50,222,2,3724.037669345803,0,0,1
010010001262A0130311,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,1,0,0,0,0,0,,,,,,,,2o50,222,2,3724.037669345803,1,1,1
010010001262A0130361,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,0,1,0,0,0,0,0,,,,,,,,2o50,222,2,3724.037669345803,2,1,1
010010001262A0170051,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,1,0,1,0,1,0,0,0,,,,,,,,2o50,222,2,3359.881583435674,4,2,1
010010001262A0170081,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2o50,222,2,3359.881583435674,2,1,1
010010001262A0170131,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,2o50,222,2,3359.881583435674,6,2,1
010010001262A0170161,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,0,0,0,0,0,0,0,,,,,,,,2o50,222,2,3359.881583435674,1,1,1
010010001262A0170191,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,2o50,222,2,3359.881583435674,9,2,1
010010001262A0220031,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,1,1,1,1,1,1,0,0,,,,,,,,2o50,222,2,5294.5710830169255,7,3,1
010010001262A0220121,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o50,222,2,5294.5710830169255,0,0,1
010010001262A0280211,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2o50,222,2,6046.333404654248,3,1,1
010010001262A0280291,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,1,1,1,1,1,1,1,0,,,,,,,,2o50,222,2,6046.333404654248,8,3,1
010010001262A0280361,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,1,1,1,1,1,0,0,0,,,,,,,,2o50,222,2,6046.333404654248,6,2,1
010010001262A0280431,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o50,222,2,6046.333404654248,0,0,1
010010001262A0280511,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2o50,222,2,6046.333404654248,5,1,1
01001000127230010011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2o71,223,2,2028.8537226894505,3,1,1
01001000127230010041,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o71,223,2,2028.8537226894505,0,0,1
01001000127230010131,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,0,1,0,1,0,1,0,,,,,,,,2o71,223,2,2028.8537226894505,4,2,1
01001000127230010191,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,2o71,223,2,2028.8537226894505,4,1,1
01001000127230070011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,1,1,1,1,1,0,0,,,,,,,,2o71,223,2,2470.9043167823784,6,2,1
01001000127230070101,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o71,223,2,2470.9043167823784,0,0,1
01001000127230070191,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,2o71,223,2,2470.9043167823784,9,2,1
01001000127230070361,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o71,223,2,2470.9043167823784,1,1,1
01001000127230070541,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o71,223,2,2470.9043167823784,0,0,1
01001000127230130011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o71,223,2,3159.516995229926,0,0,1
01001000127230130051,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,1,1,1,1,1,1,1,0,,,,,,,,2o71,223,2,3159.516995229926,8,3,1
01001000127230130091,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,0,1,1,1,0,0,0,,,,,,,,2o71,223,2,3159.516995229926,4,2,1
01001000127230130131,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,2o71,223,2,3159.516995229926,6,2,1
01001000127230130161,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2o71,223,2,3159.516995229926,15,3,1
01001000127230130241,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,0,0,0,0,0,0,0,,,,,,,,2o71,223,2,3159.516995229926,1,1,1
01001000127230220081,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o71,223,2,2916.4772263660852,0,0,1
01001000127230220141,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,2o71,223,2,2916.4772263660852,12,3,1
01001000127230220201,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,1,0,0,0,0,0,0,0,,,,,,,,2o71,223,2,2916.4772263660852,1,1,1
01001000127230220271,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o71,223,2,2916.4772263660852,1,1,1
01001000127230220391,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o71,223,2,2916.4772263660852,0,0,1
01001000127230320011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,0,1,0,0,0,0,0,,,,,,,,2o71,223,2,3968.4616804512134,2,1,1
01001000127230320101,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,0,1,0,0,1,1,0,,,,,,,,2o71,223,2,3968.4616804512134,4,2,1
01001000127230320181,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o71,223,2,3968.4616804512134,0,0,1
01001000127230320261,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2o71,223,2,3968.4616804512134,3,1,1
01001000127230320351,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,2o71,223,2,3968.4616804512134,11,3,1
01001000127230320431,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,2o71,223,2,3968.4616804512134,11,3,1
01001000127230320511,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,2o71,223,2,3968.4616804512134,5,1,1
01001000127230380011,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o71,223,2,2192.001991791071,1,1,1
01001000127230380101,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o71,223,2,2192.001991791071,0,0,1
01001000127230380181,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2o71,223,2,2192.001991791071,15,3,1
01001000127230380271,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o71,223,2,2192.001991791071,0,0,1
01001000127230380351,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2o71,223,2,2192.001991791071,0,0,1
01001000127230380431,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,0,0,0,0,0,0,0,0,0,,,,,,,,2o71,223,2,2192.001991791071,0,0,1
01001000127230380521,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,1,0,1,1,0,0,0,0,0,,,,,,,,2o71,223,2,2192.001991791071,3,1,1
02002000143500020021,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1a45,122,1,3579.8024326223704,2,1,1
02002000143500020091,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1a45,122,1,3579.8024326223704,0,0,1
02002000143500020111,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,1,1,1,1,1,1,1,0,,,,,,,,1a45,122,1,3579.8024326223704,8,3,1
02002000143500020131,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1a45,122,1,3579.8024326223704,10,2,1
02002000143500020151,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1a45,122,1,3579.8024326223704,1,1,1
02002000143500070081,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,0,0,0,0,0,0,,,,,,,,1a45,122,1,3625.2602412905912,0,0,1
02002000143500070121,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,0,0,0,0,0,0,,,,,,,,1a45,122,1,3625.2602412905912,0,0,1
02002000143500070161,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1a45,122,1,3625.2602412905912,3,1,1
02002000143500070241,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,1,0,0,0,0,0,0,0,,,,,,,,1a45,122,1,3625.2602412905912,2,1,1
02002000143500070281,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,1,1,0,1,1,0,1,0,,,,,,,,1a45,122,1,3625.2602412905912,6,2,1
02002000143500130021,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1a45,122,1,3041.376863488111,0,0,1
02002000143500130051,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,0,0,0,0,0,0,,,,,,,,1a45,122,1,3041.376863488111,0,0,1
02002000143500130071,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,1,1,1,1,1,1,1,0,,,,,,,,1a45,122,1,3041.376863488111,8,3,1
02002000143500130091,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,1,1,1,1,1,1,1,0,,,,,,,,1a45,122,1,3041.376863488111,8,3,1
02002000143500130131,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1a45,122,1,3041.376863488111,0,0,1
02002000143500130151,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,0,0,0,0,0,0,,,,,,,,1a45,122,1,3041.376863488111,0,0,1
02002000143500130171,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,0,0,0,0,0,0,,,,,,,,1a45,122,1,3041.376863488111,0,0,1
02002000143500130191,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,0,0,0,0,0,0,0,0,0,,,,,,,,1a45,122,1,3041.376863488111,0,0,1
02002000143500190011,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1a45,122,1,2297.039894266021,1,1,1
02002000143500190021,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1a45,122,1,2297.039894266021,2,1,1
