folio_sel,intp,dias1,gpo_diversidad1,dias2,gpo_diversidad2,dias3,gpo_diversidad3,dias4,gpo_diversidad4,dias5,gpo_diversidad5,dias6,gpo_diversidad6,dias7,gpo_diversidad7,dias8,gpo_diversidad8,dias9,gpo_diversidad9,dias10,gpo_diversidad10,dias11,gpo_diversidad11,dias12,gpo_diversidad12,dias13,gpo_diversidad13,entidad,desc_ent,munici,locali,est_var,region,code_upm,ponde_f,sexo,edad,emb,r_estrato,area,diversidad
01001000127230380351,3,8,1,0,0,3,1,1,0,0,0,0,0,0,0,10,1,7,1,0,0,1,0,0,0,0,0,01,AGUASCALIENTES,001,0001,223,2,2o71,2127.610107421875,2,16,4,3,2,4
02002000143500020021,4,1,0,0,0,4,1,3,1,2,0,11.5,1,4,1,7,1,7,1,0,0,0,0,0,0,6,0,02,BAJA CALIFORNIA,002,0001,122,1,1a45,7012.56982421875,2,17,4,2,2,6
02002000143500020111,2,7,1,0,0,3,1,0,0,1,0,0,0,7,1,8,1,7,1,0,0,3,1,0,0,13.5,1,02,BAJA CALIFORNIA,002,0001,122,1,1a45,3506.2900390625,2,18,4,2,2,7
02002000143500070241,4,11.5,1,3,1,4,1,6,1,1,0,3,1,1,0,3,1,7,1,0,0,0,0,3,1,4,0,02,BAJA CALIFORNIA,002,0001,122,1,1a45,3550.81005859375,2,18,4,2,2,8
02002000143500130021,5,1,0,3,1,7,1,0,0,0,0,4,1,0,0,8.5,1,7,1,0,0,0,0,3,1,1,0,02,BAJA CALIFORNIA,002,0001,122,1,1a45,4886.259765625,1,17,,2,2,6
02002000143500130131,4,11,1,7,1,2,0,0,0,2,0,4,1,6,1,4,1,7,1,0,0,8,1,7,1,4,0,02,BAJA CALIFORNIA,002,0001,122,1,1a45,2978.919921875,2,17,4,2,2,8
02002000143500190011,3,1,0,6,1,6,1,3,1,1,0,6,1,2,0,7.5,1,7,1,3,1,0,0,5.5,1,14,1,02,BAJA CALIFORNIA,002,0001,122,1,1a45,3675.840087890625,1,13,,2,2,9
02002000143500270031,6,1,0,7,1,2,0,0,0,3,1,0,0,1,0,8,1,7,1,0,0,1,0,7,1,0,0,02,BAJA CALIFORNIA,002,0001,122,1,1a45,17644.05078125,1,12,,2,2,5
02002012435799990021,4,3,0,3,1,1,0,0,0,0,0,4,1,0,0,0,0,7,1,0,0,1,0,7,1,1,0,02,BAJA CALIFORNIA,002,0124,111,1,1o01,225.89999389648438,2,19,4,1,1,4
02002012435799990031,4,43.5,1,12.5,1,3,1,0,0,0,0,4,1,8,1,3,1,7,1,3,1,10,1,1,0,16,1,02,BAJA CALIFORNIA,002,0124,111,1,1o01,752.7000122070312,1,13,,1,1,10
02002012435799990041,4,6,0,14,1,1,0,1,0,2,0,8,1,0,0,8.5,1,7,1,0,0,0,0,1,0,0,0,02,BAJA CALIFORNIA,002,0124,111,1,1o01,225.89999389648438,2,18,4,1,1,4
02002012435799990051,4,9,1,3,1,0,0,0,0,0,0,1,0,1,0,3,1,7,1,1,0,1,0,3,1,2,0,02,BAJA CALIFORNIA,002,0124,111,1,1o01,742,2,14,4,1,1,5
02002012435799990141,3,4,0,5.5,1,4,1,3,1,1,0,0,0,0,0,2,0,7,1,0,0,3,1,5.5,1,1,0,02,BAJA CALIFORNIA,002,0124,111,1,1o01,734.1300048828125,1,18,,1,1,6
02002012435799990151,4,7,1,5.5,1,0,0,1,0,2,0,0,0,4,1,7,1,7,1,0,0,4,1,0,0,6,0,02,BAJA CALIFORNIA,002,0124,111,1,1o01,367.07000732421875,1,16,,1,1,6
020020167348A9990011,2,1,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,4,0,02,BAJA CALIFORNIA,002,0167,112,1,1o31,711.4400024414062,2,19,4,2,1,2
020020167348A9990041,7,3,0,1,0,1,0,2,0,3,1,14,1,8,1,4,1,7,1,6,1,0,0,3,1,0,0,02,BAJA CALIFORNIA,002,0167,112,1,1o31,1382.6199951171875,1,15,,2,1,7
020020167348A9990141,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7,1,0,0,1,0,7,1,1,0,02,BAJA CALIFORNIA,002,0167,112,1,1o31,1008.3300170898438,1,17,,2,1,2
020020167348A9990151,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,6,0,02,BAJA CALIFORNIA,002,0167,112,1,1o31,711.4400024414062,2,18,4,2,1,1
02002017035799990041,6,3,0,0,0,0,0,0,0,0,0,4,1,5.5,1,7,1,3,0,3,1,3,1,3,1,0,0,02,BAJA CALIFORNIA,002,0170,111,1,1o01,463.75,2,13,4,1,1,6
02002017035799990051,5,8,1,3,1,6,1,3,1,0,0,7,1,0,0,13,1,1,0,0,0,0,0,0,0,1,0,02,BAJA CALIFORNIA,002,0170,111,1,1o01,803.3099975585938,1,15,,1,1,6
02002017035799990071,3,0,0,7,1,0,0,3,1,1,0,0,0,0,0,10,1,7,1,0,0,7,1,0,0,0,0,02,BAJA CALIFORNIA,002,0170,111,1,1o01,705.6599731445312,1,12,,1,1,5
02002025535799990041,4,4,0,3,1,3,1,0,0,4,1,3,1,1,0,9,1,7,1,0,0,4,1,3,1,2,0,02,BAJA CALIFORNIA,002,0255,111,1,1o01,239.8000030517578,2,17,4,1,1,8
02002025535799990051,3,9.5,1,3,1,2,0,3,1,6,1,13,1,10,1,15.5,1,7,1,3,1,3,1,5.5,1,3,0,02,BAJA CALIFORNIA,002,0255,111,1,1o01,204.13999938964844,2,15,4,1,1,11
